T10B10,T100B10,T1000B10,Omniscient,Random
0.696778288,0.696778288,0.696778288,0.696778288,0.696778288
0.697017716,0.697059664,0.697070237,0.697077906,0.696832384
0.697249789,0.697343277,0.697373861,0.697360561,0.696852871
0.697475942,0.697632333,0.697674766,0.69764818,0.696878961
0.697717454,0.697896745,0.697946863,0.697927159,0.69690425
0.697924394,0.69813091,0.698192081,0.698162277,0.696911444
0.698131655,0.698349863,0.698442412,0.698416449,0.69694842
0.69832659,0.698588023,0.698684105,0.698629967,0.696971631
0.69852841,0.698822661,0.69893571,0.698867972,0.696995963
0.698712938,0.699055061,0.699182999,0.699081331,0.69702125
0.698887712,0.699268898,0.699392996,0.699302686,0.69702638
0.699062022,0.699509775,0.699605552,0.699511402,0.697072149
0.699221127,0.699733372,0.699842596,0.699729082,0.697098397
0.699401512,0.699937285,0.700037065,0.699924347,0.69713793
0.69956621,0.700159279,0.700266424,0.700118811,0.697170426
0.699705467,0.700367512,0.700500103,0.700312795,0.697181952
0.699857199,0.700580872,0.700691702,0.7004983,0.697221165
0.700017575,0.700753892,0.700904094,0.700716136,0.697221801
0.700155216,0.700951242,0.701089278,0.700892359,0.697235094
0.700282781,0.701153068,0.701267099,0.701080269,0.697246294
0.700423477,0.701357775,0.701463167,0.70124929,0.697304702
0.700541123,0.701531922,0.701670118,0.701435114,0.697333988
0.700660685,0.701714394,0.701862351,0.701603338,0.697371113
0.700770966,0.701902305,0.702056021,0.701792039,0.697414657
0.700883639,0.702115182,0.70225273,0.701954977,0.697439788
0.701021443,0.702307252,0.70245377,0.702147834,0.697470205
0.701117163,0.70247419,0.702630473,0.702325183,0.697516458
0.70121047,0.702642897,0.70280957,0.702508761,0.697530057
0.701346038,0.702834321,0.702982909,0.702673611,0.69755823
0.70143775,0.703003659,0.703158327,0.702860223,0.69759696
0.701548344,0.703196037,0.703343835,0.703049082,0.697652815
0.701696393,0.70335545,0.703505331,0.703215372,0.697675379
0.701864288,0.703503822,0.703690192,0.703385189,0.697723875
0.701997926,0.703656356,0.703880823,0.703561245,0.697785169
0.702119403,0.703815287,0.704055436,0.703739068,0.697828707
0.702266489,0.703951494,0.704222051,0.703895766,0.697841036
0.702403015,0.704080502,0.704381142,0.70405726,0.697844872
0.702527855,0.704232553,0.704549193,0.704200024,0.697871283
0.702664371,0.704372282,0.704714211,0.704363763,0.697890653
0.702794808,0.704495849,0.704884985,0.704517568,0.697915463
0.702931648,0.704645662,0.705028719,0.704666104,0.697929378
0.703100038,0.704783957,0.705185892,0.704828876,0.697944745
0.703239769,0.704924818,0.705340187,0.704989567,0.697964745
0.703411664,0.70506151,0.705490165,0.705162585,0.697992753
0.703588679,0.705204444,0.7056475,0.705323912,0.698033401
0.703758496,0.705345774,0.705808671,0.705489893,0.698081251
0.703914552,0.705491744,0.705973044,0.705643545,0.698080619
0.704063723,0.705645572,0.706146381,0.705778626,0.698081262
0.704216737,0.705754891,0.706301476,0.705915638,0.698116475
0.704359501,0.705880702,0.706442801,0.706079695,0.698171058
0.704491231,0.706012593,0.706605896,0.70622966,0.698180014
0.704624868,0.706166406,0.706754909,0.706381069,0.698197457
0.704762181,0.706319089,0.706909525,0.706529761,0.698243392
0.704893257,0.706466964,0.707047652,0.70668132,0.698256195
0.705025931,0.70661741,0.707213627,0.706824084,0.698312213
0.705136032,0.706777451,0.707364873,0.70695901,0.698324061
0.705243256,0.706919253,0.707504278,0.707093292,0.698353664
0.705365205,0.707068572,0.707646249,0.707241502,0.69837638
0.705483956,0.707215337,0.707809815,0.707382503,0.698401671
0.705612468,0.7073621,0.707957702,0.707517909,0.698438168
0.705737618,0.707517829,0.708101749,0.707646589,0.698453698
0.705856854,0.707665248,0.708243221,0.707766788,0.698468912
0.705969847,0.707780337,0.708406952,0.70790971,0.698469243
0.706083644,0.707909345,0.708544907,0.708067677,0.698503488
0.706217278,0.708049405,0.708717269,0.708212681,0.698512134
0.706346435,0.708194256,0.70886547,0.708353842,0.698527024
0.706460064,0.708314623,0.709027429,0.7084886,0.698552944
0.70658811,0.708442988,0.709172916,0.708618398,0.698586071
0.7066987,0.708566876,0.709340477,0.708771557,0.698586883
