T10B1,T100B1,T1000B1
4.358568844,4.105593644,4.577046574
2.882325614,2.414610256,0.793291596
2.888329386,2.425339949,0.79893109
2.883302278,2.421871174,0.79591545
2.884743663,2.436983238,0.774557374
2.875777924,2.452299703,0.774761559
2.882825508,2.417975931,0.789614826
2.884242866,2.383021322,0.788904914
2.882696777,2.425111623,0.793390269
2.873223376,2.434746164,0.78941221
2.877670946,2.40044263,0.791750592
2.875795197,2.422141662,0.782992352
2.875185773,2.405856091,0.790743901
2.884865439,2.446085737,0.787757193
2.87844038,2.409340643,0.766980643
2.871741904,2.414530376,0.77908404
2.874573066,2.41173311,0.78595389
2.867541906,2.398138766,0.787439786
2.865086863,2.417081426,0.7791805
2.861964046,2.396255071,0.76863646
2.860781946,2.391843188,0.794089966
2.857746578,2.402482694,0.78460725
2.863822983,2.409552794,0.781137253
2.864568506,2.428411244,0.802495428
2.85364962,2.404152295,0.784268615
2.858531347,2.391014234,0.777083999
2.847783996,2.389959568,0.772956644
2.862656984,2.402470246,0.772679285
2.8598289,2.387594231,0.772300026
2.862723823,2.388762986,0.767503774
2.855867174,2.411115872,0.789852233
2.852879608,2.396360255,0.78087374
2.848359682,2.408187362,0.78383107
2.854793111,2.406665012,0.774713465
2.852483464,2.3886138,0.785336834
2.838509372,2.394855663,0.780374272
2.852372638,2.392684254,0.784934881
2.848228495,2.390757567,0.761188023
2.846344733,2.362935368,0.789426807
2.836062005,2.375447417,0.766063225
2.837940663,2.419720245,0.771784607
2.846853274,2.391230923,0.778697415
2.839192182,2.389465331,0.78484652
2.849892198,2.38730728,0.764339254
2.843852509,2.394039093,0.77368471
2.841230028,2.371510379,0.77804807
2.834423304,2.387536226,0.753480335
2.834364542,2.388226183,0.773122178
2.837932411,2.406944744,0.766352215
2.843264543,2.389675066,0.784576569
2.841476922,2.393765267,0.772980537
2.836435087,2.409789709,0.780832607
2.833105138,2.381864413,0.762594232
2.833271485,2.390876742,0.750719415
2.827105827,2.392293021,0.769207774
2.819389904,2.380989353,0.7696043
2.827399607,2.37654431,0.772270085
2.823852112,2.37461045,0.764687382
2.837647035,2.376888675,0.755081564
2.819179189,2.385734362,0.767307965
2.820407542,2.391915749,0.786678217
2.838174295,2.379311019,0.782170653
2.816350774,2.350752221,0.76502199
2.81845746,2.378442868,0.750128493
2.827298809,2.374045865,0.755684188
2.815745173,2.368529644,0.760126292
2.82493489,2.375456388,0.761343054
2.828775716,2.390600207,0.752634592
2.825326449,2.399145773,0.748260199
2.821638871,2.372338098,0.770109949
2.817295839,2.351329511,0.767435964
2.818494349,2.38223665,0.761939668
2.8136373,2.345850641,0.766784211
2.821702619,2.393083369,0.766410064
2.817238931,2.347377501,0.759273426
2.821768195,2.35960912,0.760621164
2.818354388,2.366150452,0.779007595
2.820704714,2.376719979,0.747083244
2.807451327,2.361166081,0.779023541
2.813677187,2.375582478,0.738505949
2.818499673,2.36000937,0.764781233
2.820733781,2.347044844,0.751015595
2.80661402,2.364062143,0.74715178
2.813200578,2.388786623,0.768965794
2.81837446,2.356127223,0.768926622
2.812740129,2.36666262,0.769683782
2.798197475,2.375762127,0.75827615
2.805201675,2.367608407,0.761379693
2.812744372,2.38315833,0.765080519
2.819362881,2.392002042,0.760132741
2.812629757,2.368874049,0.761841688
2.806259085,2.34989573,0.760619858
2.802021303,2.351130711,0.770043467
2.812896244,2.358578621,0.765544578
2.803784076,2.36669429,0.752132321
2.806302565,2.336700875,0.749390369
2.802337675,2.364767064,0.766989332
2.805848591,2.360320604,0.750588648
2.801193701,2.333025532,0.762260253
2.796534402,2.366227378,0.750340566
2.796997719,2.352050222,0.756932057
2.80014043,2.370842315,0.76125695
2.800719394,2.354630167,0.762457087
2.803038253,2.37209421,0.748235941
2.813190708,2.328905,0.758808199
2.80512501,2.355056308,0.762209102
2.799682929,2.392463949,0.771118587
2.811653944,2.372113296,0.749632514
2.799785272,2.361545808,0.769440198
2.804396606,2.374347278,0.75552049
2.78093047,2.371737555,0.741517181
2.797870864,2.348110459,0.759784466
2.797075873,2.367532867,0.741268128
2.797605085,2.314354467,0.748726014
2.807685146,2.357428176,0.750981014
2.785016738,2.372948521,0.767632338
2.799255249,2.354851548,0.776158019
2.790414656,2.338504043,0.777697447
2.795250797,2.352616107,0.7552283
2.792918824,2.34381499,0.774493471
2.78365292,2.341990973,0.767909244
2.78656076,2.339192383,0.757186138
2.795564293,2.358446609,0.754249014
2.789581837,2.323953834,0.744025481
2.785425349,2.354145442,0.747980892
2.789798271,2.340930834,0.762511418
2.788927552,2.321231969,0.751816383
2.796483216,2.382207366,0.764741682
2.788747985,2.359309819,0.762651304
2.782362927,2.347648035,0.741787143
2.782264851,2.367376784,0.751621074
2.788761846,2.355254773,0.733172728
2.786112,2.37139837,0.750346133
2.775132951,2.333274868,0.766505126
2.774522432,2.359328126,0.763393912
2.793735394,2.357924738,0.754585801
2.778268309,2.329171012,0.777006885
2.770779927,2.335581049,0.755286496
2.786390096,2.335511735,0.750129078
2.780394328,2.350069334,0.742519153
2.786410387,2.361792575,0.745048014
2.792508247,2.375670671,0.759140415
2.791133518,2.354187254,0.755200719
2.779651232,2.349535148,0.750749089
2.780945036,2.334988899,0.741488772
2.785296032,2.317409136,0.734798047
2.779104409,2.324126902,0.751311988
2.777723648,2.340592195,0.759486908
2.776326184,2.379096613,0.739869982
2.786866582,2.341988709,0.75648579
2.779595939,2.358359085,0.736412022
2.784466056,2.360603953,0.741531208
2.778305074,2.363986214,0.757609134
2.783251461,2.360893103,0.740996524
2.777307269,2.359757717,0.735098364
2.764837513,2.321814252,0.743325569
2.779460763,2.343834625,0.757837072
2.778715594,2.347817493,0.761434742
2.773049044,2.345177466,0.760952122
2.774272125,2.34492334,0.769674227
2.7706284,2.350268725,0.74923836
2.772716501,2.341294486,0.75068154
2.761969219,2.347968822,0.742752566
2.774720236,2.354309846,0.749589033
2.774649247,2.335033669,0.752585182
2.769389282,2.354661488,0.755136558
2.764791527,2.335378342,0.743782431
2.766234309,2.328524419,0.737313424
2.76694516,2.319339874,0.73720194
2.765247234,2.343100971,0.773174903
2.759652679,2.323876382,0.747610073
2.772500645,2.346134169,0.74763885
2.769230555,2.3734809,0.740931446
2.775042389,2.349336648,0.748193629
2.775277026,2.356094791,0.761990298
2.772392065,2.358931748,0.751143717
2.769411247,2.336207004,0.765371056
2.767717654,2.324625859,0.743852547
2.774546797,2.323689547,0.743354203
2.761206356,2.336100403,0.729797074
2.755720544,2.328264882,0.737955918
2.765075321,2.320235813,0.756529812
2.75888266,2.355078858,0.753144659
2.775470873,2.344674122,0.734134605
2.760636933,2.336952625,0.749919241
2.761632345,2.358187655,0.749766912
2.756804275,2.35237046,0.743799423
2.757716628,2.348806346,0.741700037
2.751661219,2.330621105,0.761324565
2.756354074,2.337489509,0.747511092
2.754603275,2.345062683,0.755943247
2.767311186,2.369691748,0.747986881
2.758816403,2.354943437,0.747997045
2.765016712,2.342537438,0.755040716
2.758227262,2.324296899,0.74913071
2.76985298,2.329920845,0.759376484
2.761037087,2.323813085,0.752745942
2.763672017,2.347632473,0.754604681
2.747729386,2.340890731,0.736067046
2.762720205,2.361221417,0.760102577
2.761931984,2.368456498,0.748434987
2.759761087,2.341832376,0.744495561
2.764734678,2.346880402,0.747844214
2.754223807,2.37639621,0.742901204
2.757773638,2.351672767,0.727973279
2.753160286,2.344840821,0.758402804
2.758460635,2.331286494,0.742335102
2.764181513,2.362422938,0.757191912
2.750407608,2.356947702,0.735793097
2.761271362,2.336441696,0.766862692
2.752905663,2.343254861,0.748909755
2.758794526,2.356874951,0.759228973
2.747321028,2.340567765,0.745744339
2.748450666,2.327323146,0.736167553
2.750357964,2.331027206,0.744520654
2.74988168,2.361944073,0.749174185
2.752936283,2.361781888,0.759228594
2.742615161,2.34788985,0.73719438
2.756212775,2.333621889,0.736203492
2.754679649,2.356899074,0.757612622
2.745796615,2.347998058,0.734385554
2.75511139,2.359035012,0.752129334
2.750424143,2.36274487,0.766796829
2.759744404,2.344209449,0.752738198
2.753326018,2.359233036,0.751044453
2.729633503,2.34247484,0.74000555
2.755378246,2.347453447,0.743538711
2.757357855,2.310974487,0.74115677
2.745199146,2.351766672,0.749292114
2.751794267,2.320576815,0.754873416
2.754113629,2.337809553,0.741392483
2.743204414,2.348200764,0.734574408
2.763772687,2.343973676,0.755914477
2.754271242,2.350059698,0.756803485
2.753564033,2.354233949,0.747867191
2.74757444,2.306261722,0.742100284
2.74743491,2.337358361,0.724072517
2.746470608,2.326069654,0.743914549
2.749225351,2.3513674,0.761204986
2.744666914,2.345825362,0.750998356
2.740892328,2.367042416,0.746956049
2.755807715,2.328996052,0.744727463
2.753921048,2.327971568,0.733389796
2.750677417,2.356114614,0.745480269
2.75322043,2.341426239,0.725655297
2.755645015,2.33633898,0.756163578
2.753686215,2.333281609,0.736101547
2.748565541,2.335760322,0.748884748
2.748840184,2.327296074,0.754008266
2.735529688,2.345091635,0.745571896
2.746399715,2.354851252,0.747024049
2.748352253,2.351447919,0.75551101
2.754817103,2.322423661,0.75232494
2.741549594,2.339995605,0.751813116
2.739704177,2.340813159,0.749121771
2.741701339,2.33805958,0.741901335
2.743995087,2.330595177,0.725782644
2.73565795,2.346621936,0.734116944
2.731545335,2.340364311,0.733372875
2.743475251,2.350344907,0.730458268
2.741154124,2.35306561,0.761284741
2.749759661,2.325781568,0.759137525
2.733322829,2.335752228,0.749352086
2.756620785,2.358359976,0.747018129
2.739111232,2.344411186,0.763266437
2.738508202,2.358734002,0.753687643
2.742753053,2.343112198,0.749332363
2.749062589,2.331274043,0.730373888
2.743318709,2.343007988,0.745741187
2.738981458,2.335545921,0.748875909
2.740653699,2.361941467,0.720396596
2.737387311,2.342818377,0.737616918
2.746445078,2.364054598,0.74371937
2.739327104,2.353740218,0.753136103
2.742026483,2.316179786,0.74996014
2.72862597,2.353664828,0.744074976
2.737984526,2.335102891,0.752225729
2.738101586,2.327771572,0.749944505
2.73735691,2.336025105,0.74970687
2.738821349,2.328521049,0.747977784
2.7378783,2.321468275,0.752743891
2.739358759,2.35716156,0.745187537
2.747022514,2.362620965,0.745274892
2.736176883,2.356932091,0.736161763
2.733189891,2.343182992,0.744182949
2.740547265,2.311695759,0.748173427
2.741943601,2.309775269,0.754049637
2.736908499,2.352733212,0.752581928
2.740654025,2.339509872,0.748264437
2.731343729,2.348887801,0.75393412
2.745395996,2.351184477,0.748465891
2.745137026,2.35081937,0.756339976
2.730780806,2.350586261,0.754389881
2.74873342,2.341294938,0.732207913
2.742866513,2.354096955,0.760568557
2.736971319,2.330674611,0.749153065
2.726465572,2.319239556,0.746279636
2.736662483,2.33958722,0.746256746
2.735034638,2.370881225,0.761069883
2.736571972,2.329109035,0.748856303
2.738689594,2.343293092,0.733654332
2.737181841,2.324746176,0.726354382
2.720740603,2.327331164,0.742660914
2.728188634,2.330999331,0.755017109
2.73140351,2.341167925,0.739507544
2.741605273,2.343123367,0.751574535
2.732767773,2.350239825,0.742539605
2.724529236,2.338202472,0.759488408
2.731632514,2.340807842,0.763374793
2.730529627,2.330358198,0.746963239
2.726692873,2.371348839,0.740741988
2.726156225,2.35413475,0.744680716
2.731145161,2.336278307,0.757109259
2.728770187,2.339846831,0.751277621
2.726917245,2.341365092,0.755207693
2.729833614,2.332488436,0.754996949
2.727295867,2.35631472,0.744435265
2.732040607,2.356922938,0.749412142
2.730965848,2.353291664,0.734236897
2.732793924,2.361321185,0.76285527
2.735169749,2.339412143,0.74418182
2.730601687,2.335169142,0.746153623
2.741820709,2.352553186,0.740530821
2.719654512,2.341057973,0.761893005
2.729256527,2.38209658,0.751495777
2.732609923,2.346139307,0.751480296
2.722898242,2.350114296,0.746470095
2.741486654,2.33896487,0.730200261
