Ours,Omniscient,Random
0.696778288,0.696778288,0.696778288
0.697072796,0.697077906,0.696832384
0.697373221,0.697360561,0.696852871
0.697675245,0.69764818,0.696878961
0.69792942,0.697927159,0.69690425
0.698171433,0.698162277,0.696911444
0.698419361,0.698416449,0.69694842
0.698674658,0.698629967,0.696971631
0.698899382,0.698867972,0.696995963
0.699129227,0.699081331,0.69702125
0.699345791,0.699302686,0.69702638
0.699565388,0.699511402,0.697072149
0.699804026,0.699729082,0.697098397
0.700008098,0.699924347,0.69713793
0.700231374,0.700118811,0.697170426
0.700447136,0.700312795,0.697181952
0.700663693,0.7004983,0.697221165
0.700865681,0.700716136,0.697221801
0.701045584,0.700892359,0.697235094
0.701244536,0.701080269,0.697246294
0.701434362,0.70124929,0.697304702
0.701655397,0.701435114,0.697333988
0.70184234,0.701603338,0.697371113
0.702026564,0.701792039,0.697414657
0.702205509,0.701954977,0.697439788
0.702409579,0.702147834,0.697470205
0.702599407,0.702325183,0.697516458
0.702761388,0.702508761,0.697530057
0.70296978,0.702673611,0.69755823
0.703138799,0.702860223,0.69759696
0.703329106,0.703049082,0.697652815
0.703497161,0.703215372,0.697675379
0.703636097,0.703385189,0.697723875
0.703827197,0.703561245,0.697785169
0.703998618,0.703739068,0.697828707
0.704169549,0.703895766,0.697841036
0.704340487,0.70405726,0.697844872
0.704502142,0.704200024,0.697871283
0.704685244,0.704363763,0.697890653
0.704845612,0.704517568,0.697915463
0.705010787,0.704666104,0.697929378
0.705166838,0.704828876,0.697944745
0.705331526,0.704989567,0.697964745
0.705495582,0.705162585,0.697992753
0.705670196,0.705323912,0.698033401
0.705830888,0.705489893,0.698081251
0.705980381,0.705643545,0.698080619
0.706130514,0.705778626,0.698081262
0.706285126,0.705915638,0.698116475
0.706435255,0.706079695,0.698171058
0.70659083,0.70622966,0.698180014
0.706742885,0.706381069,0.698197457
0.706874625,0.706529761,0.698243392
0.707035151,0.70668132,0.698256195
0.707178229,0.706824084,0.698312213
0.707342119,0.70695901,0.698324061
0.707499291,0.707093292,0.698353664
0.707651179,0.707241502,0.69837638
0.707801137,0.707382503,0.698401671
0.707934947,0.707517909,0.698438168
0.708066991,0.707646589,0.698453698
0.708197916,0.707766788,0.698468912
0.708358126,0.70790971,0.698469243
0.708502496,0.708067677,0.698503488
0.708658386,0.708212681,0.698512134
0.708819396,0.708353842,0.698527024
0.708960399,0.7084886,0.698552944
0.709134222,0.708618398,0.698586071
0.709288826,0.708771557,0.698586883
0.709452553,0.708928078,0.698626565
0.709595631,0.70905723,0.698646897
0.70974911,0.70919152,0.698674909
0.709912042,0.709328364,0.698696034
0.710062489,0.709480247,0.698729804
0.710214856,0.709642538,0.69876101
0.71036386,0.709776503,0.698790463
0.71052055,0.709898138,0.698808546
0.710673393,0.710044908,0.698832869
0.710833275,0.710182392,0.698864553
0.710984994,0.710329152,0.698874635
0.711138482,0.710459758,0.698891924
0.711291808,0.71060028,0.698883611
0.711475052,0.710712474,0.698910651
0.711631094,0.710857958,0.698934979
0.711777378,0.710992077,0.698954347
0.711941906,0.711133554,0.698996113
0.712100026,0.711268477,0.699042199
0.712257667,0.711405804,0.699059811
0.712423465,0.711551444,0.699080463
0.712568627,0.711689086,0.699116313
0.712694104,0.711840164,0.699147047
0.712835108,0.712010288,0.699175215
0.71299787,0.712126491,0.699204021
0.713134393,0.712264127,0.699215551
0.713276835,0.712375526,0.699232194
0.713441196,0.712517325,0.699235082
0.713596431,0.712642155,0.699277815
0.713755826,0.712768592,0.699302941
0.713916512,0.712893428,0.699361831
0.714049351,0.713029301,0.699358634
0.714187296,0.713153333,0.699401847
0.714360778,0.713279937,0.699443778
0.714523856,0.713430538,0.699448265
0.714701815,0.713559851,0.69947339
0.714874975,0.713719569,0.699488591
0.715034691,0.713856406,0.699542682
0.715202896,0.714031005,0.699578051
0.715376215,0.714174717,0.699576774
0.715514489,0.71430852,0.699614384
0.715672447,0.714466476,0.699642705
0.71581728,0.714611632,0.699656798
0.715956026,0.714760312,0.699689127
0.7161103,0.714908035,0.699693292
0.71628602,0.715054474,0.699722746
0.716422216,0.715209708,0.69975076
0.716597295,0.71535503,0.699778122
0.716782783,0.715526743,0.699814128
0.716921849,0.715653333,0.699860868
0.717097082,0.715776567,0.699872711
0.717261435,0.715914041,0.699911606
0.71741683,0.716049109,0.699949541
0.717578305,0.716207387,0.699984911
0.717727299,0.71637366,0.700028602
0.717885251,0.716494649,0.70005165
0.718044319,0.716674362,0.700095022
0.718225639,0.716864799,0.700107504
0.71838471,0.717021,0.700120468
0.718528736,0.717179423,0.70013023
0.718689083,0.717349538,0.700154231
0.718865282,0.717486852,0.700177278
0.719032193,0.717699204,0.70021168
0.719196064,0.717849153,0.700223687
0.719353225,0.718029984,0.700250093
0.71952718,0.718162971,0.700264818
0.719684653,0.718316603,0.700308671
0.719839724,0.718522074,0.700320837
0.72001096,0.718735065,0.70036261
0.72019612,0.71899029,0.700388693
0.720356308,0.719190483,0.700417818
0.720525136,0.719404915,0.700464703
0.720679727,0.719637105,0.700487266
0.72086633,0.719842741,0.700529362
0.721012282,0.720082294,0.700538801
0.721178236,0.720270482,0.700539126
0.72133122,0.720486034,0.700571292
0.721486284,0.720717112,0.700577535
0.721642798,0.720916336,0.700589057
0.721808434,0.721128523,0.700617541
0.72192526,0.721351597,0.700606666
0.72208721,0.721562826,0.70063772
0.722233638,0.721760933,0.700667964
0.722385186,0.721963847,0.700696621
0.72255354,0.722149797,0.700725581
0.722715648,0.722367104,0.700741102
0.722866076,0.722554493,0.700767836
0.723021793,0.722760764,0.700796652
0.723157179,0.722947511,0.700822576
0.723315293,0.723140662,0.70084866
0.723458033,0.72332165,0.700917945
0.723580616,0.723504242,0.700968046
0.72374417,0.723685063,0.700972851
0.723895234,0.723850691,0.700995893
0.724040541,0.723992952,0.701030456
0.72417193,0.724214108,0.701037661
0.724315481,0.724371735,0.701070954
0.724421903,0.724521366,0.701080233
0.724585293,0.724646346,0.701117203
0.724700833,0.724827495,0.701112085
0.724813502,0.724970884,0.701167936
0.724951131,0.725130268,0.701158178
0.725061717,0.725311897,0.701157859
0.72518687,0.725408884,0.701172909
0.725294579,0.725511628,0.701223802
0.72542469,0.725636772,0.701237722
0.725545035,0.725742721,0.701263337
0.725673069,0.725830108,0.701309426
0.725785412,0.725940845,0.701330064
0.725919366,0.726057513,0.701344466
0.726026751,0.726172418,0.701400319
0.726130934,0.726269563,0.70142673
0.726229515,0.726398232,0.701432975
0.726353222,0.726497456,0.701445625
0.726451006,0.72661828,0.701469795
0.726555033,0.726713505,0.701494442
0.726668976,0.726816096,0.701505165
