T100B1,T100B10,T100B100,Omniscient,Random
0.696778288,0.696778288,0.696778288,0.696778288,0.696778288
0.697053589,0.697059664,0.697024132,0.697077906,0.696832384
0.697289194,0.697343277,0.697279411,0.697360561,0.696852871
0.697558566,0.697632333,0.697530224,0.69764818,0.696878961
0.697826983,0.697896745,0.697757344,0.697927159,0.69690425
0.698083067,0.69813091,0.697955171,0.698162277,0.696911444
0.698324593,0.698349863,0.698172363,0.698416449,0.69694842
0.698551721,0.698588023,0.698375954,0.698629967,0.696971631
0.698817255,0.698822661,0.698590584,0.698867972,0.696995963
0.699033661,0.699055061,0.69879114,0.699081331,0.69702125
0.699274537,0.699268898,0.698959683,0.699302686,0.69702638
0.699474614,0.699509775,0.699146309,0.699511402,0.697072149
0.69968045,0.699733372,0.699364616,0.699729082,0.697098397
0.699894121,0.699937285,0.699543234,0.699924347,0.69713793
0.700107807,0.700159279,0.699733695,0.700118811,0.697170426
0.700298752,0.700367512,0.69992352,0.700312795,0.697181952
0.700513386,0.700580872,0.700101502,0.7004983,0.697221165
0.700694894,0.700753892,0.700261556,0.700716136,0.697221801
0.700882968,0.700951242,0.700416977,0.700892359,0.697235094
0.701061922,0.701153068,0.700579749,0.701080269,0.697246294
0.701227905,0.701357775,0.70073084,0.70124929,0.697304702
0.701430537,0.701531922,0.700866573,0.701435114,0.697333988
0.701625645,0.701714394,0.701033986,0.701603338,0.697371113
0.701819951,0.701902305,0.70119148,0.701792039,0.697414657
0.702019221,0.702115182,0.701350408,0.701954977,0.697439788
0.702209206,0.702307252,0.70154743,0.702147834,0.697470205
0.702401753,0.70247419,0.701717411,0.702325183,0.697516458
0.702591417,0.702642897,0.701865938,0.702508761,0.697530057
0.702779321,0.702834321,0.702004858,0.702673611,0.69755823
0.702961456,0.703003659,0.70215387,0.702860223,0.69759696
0.703147286,0.703196037,0.702283203,0.703049082,0.697652815
0.703352799,0.70335545,0.702441656,0.703215372,0.697675379
0.703512842,0.703503822,0.702545057,0.703385189,0.697723875
0.703675621,0.703656356,0.702679502,0.703561245,0.697785169
0.703835688,0.703815287,0.702805625,0.703739068,0.697828707
